iter	RMSE
0	7083.059661
1	6769.615637
2	6492.630773
3	6222.166655
4	5966.701192
5	5737.590927
6	5523.496528
7	5310.44661
8	5115.862763
9	4945.322769
10	4785.745479
11	4610.87487
12	4462.519932
13	4326.976846
14	4202.927967
15	4069.276453
16	3951.818335
17	3840.02643
18	3739.650528
19	3641.237471
20	3558.655276
21	3470.603724
22	3386.41847
23	3316.41153
24	3250.044779
25	3187.742724
26	3132.7021
27	3080.054932
28	3031.933918
29	2984.684134
30	2938.051434
31	2898.522727
32	2859.729442
33	2819.974131
34	2787.171051
35	2757.540509
36	2725.387497
37	2697.626411
38	2671.911029
39	2644.777757
40	2620.697587
41	2598.464943
42	2577.123665
43	2558.348641
44	2539.206882
45	2522.20366
46	2507.16701
47	2491.925925
48	2477.041395
49	2464.000346
50	2447.566763
51	2435.350294
52	2424.025968
53	2411.636369
54	2400.638282
55	2391.52172
56	2382.603849
57	2373.578673
58	2365.012189
59	2357.847889
60	2351.2256
61	2341.311246
62	2332.345199
63	2326.832059
64	2318.239526
65	2309.198113
66	2302.021066
67	2296.002062
68	2288.253094
69	2283.356443
70	2279.128611
71	2275.08394
72	2270.249054
73	2263.147474
74	2258.170755
75	2253.174096
76	2247.539408
77	2242.323482
78	2238.094313
79	2234.379443
80	2230.725565
81	2226.199407
82	2220.864504
83	2216.422287
84	2212.177093
85	2205.629835
86	2198.464451
87	2195.759924
88	2193.196098
89	2188.546872
90	2185.345126
91	2181.721408
92	2178.744562
93	2175.86509
94	2171.922238
95	2166.349797
96	2163.045019
97	2159.30085
98	2156.760552
99	2154.635313
100	2149.519224
101	2146.407782
102	2142.268452
103	2136.470117
104	2133.324169
105	2128.546822
106	2126.213017
107	2124.357331
108	2120.329443
109	2118.033957
110	2114.970361
111	2113.07008
112	2111.824243
113	2108.522382
114	2103.211445
115	2100.9531
116	2095.473126
117	2092.775776
118	2089.647708
119	2087.965451
120	2084.504385
121	2081.575311
122	2078.028545
123	2076.75488
124	2075.278935
125	2071.859593
126	2070.830251
127	2067.678482
128	2065.027141
129	2062.389087
130	2058.3817
131	2055.181347
132	2051.315058
133	2050.430946
134	2047.68902
135	2045.681491
136	2043.581526
137	2039.714342
138	2038.208964
139	2037.030059
140	2034.321569
141	2032.417597
142	2029.993768
143	2028.384497
144	2026.843271
145	2024.761243
146	2023.941861
147	2021.078586
148	2019.501858
149	2016.219401
150	2013.726827
151	2011.634744
152	2010.092528
153	2008.883877
154	2007.790856
155	2005.668666
156	2002.537745
157	2000.971696
158	1996.255168
159	1994.716248
160	1992.960521
161	1991.728214
162	1990.11002
163	1988.075623
164	1987.952843
165	1984.985229
166	1983.628919
167	1982.454124
168	1980.710767
169	1978.383834
170	1975.742981
171	1972.9876
172	1970.326078
173	1968.537839
174	1966.442394
175	1963.789475
176	1962.141164
177	1960.754878
178	1958.613418
179	1957.191512
180	1956.279509
181	1954.994993
182	1952.402885
183	1951.236892
184	1950.349607
185	1948.401817
186	1947.215703
187	1946.423005
188	1944.29401
189	1943.031727
190	1942.182877
191	1940.193628
192	1939.445932
193	1937.66082
194	1936.339459
195	1934.828873
196	1932.985536
197	1931.188676
198	1928.929873
199	1927.720048
200	1926.655196
201	1924.929365
202	1923.710625
203	1921.917272
204	1919.790557
205	1918.548889
