iter	Passed	Remaining
0	9	9507
1	19	9625
2	29	9811
3	39	9822
4	49	9827
5	58	9731
6	67	9631
7	77	9621
8	87	9594
9	97	9605
10	106	9566
11	115	9539
12	125	9548
13	135	9563
14	145	9532
15	155	9547
16	162	9408
17	170	9313
18	177	9189
19	187	9186
20	195	9099
21	205	9113
22	214	9132
23	224	9147
24	232	9086
25	241	9054
26	251	9062
27	261	9072
28	270	9055
29	279	9052
30	289	9039
31	298	9025
32	307	9024
33	317	9011
34	326	8993
35	335	8978
36	344	8974
37	354	8986
38	365	8994
39	374	8996
40	384	8987
41	393	8975
42	402	8962
43	411	8944
44	420	8929
45	429	8916
46	439	8903
47	449	8907
48	458	8893
49	467	8885
50	477	8876
51	486	8870
52	496	8872
53	506	8872
54	516	8866
55	525	8857
56	535	8860
57	546	8870
58	555	8860
59	565	8853
60	575	8853
61	584	8842
62	593	8826
63	602	8818
64	612	8806
65	621	8790
66	630	8775
67	640	8772
68	649	8768
69	659	8766
70	669	8755
71	678	8747
72	687	8736
73	697	8726
74	706	8713
75	716	8714
76	726	8708
77	736	8700
78	745	8696
79	756	8694
80	765	8684
81	774	8675
82	784	8662
83	793	8654
84	802	8641
85	812	8632
86	821	8621
87	831	8612
88	840	8606
89	850	8600
90	860	8592
91	869	8580
92	879	8573
93	888	8561
94	897	8547
95	906	8534
96	914	8517
97	924	8507
98	933	8496
99	942	8485
100	951	8472
101	961	8462
102	970	8451
103	980	8444
104	989	8432
105	999	8427
106	1008	8416
107	1017	8402
108	1026	8394
109	1036	8386
110	1045	8374
111	1055	8366
112	1065	8360
113	1074	8347
114	1083	8338
115	1092	8326
116	1101	8316
117	1111	8305
118	1118	8284
119	1128	8274
120	1137	8262
121	1146	8252
122	1155	8239
123	1164	8228
124	1173	8217
125	1181	8192
126	1190	8185
127	1200	8179
128	1210	8172
129	1219	8163
130	1229	8155
131	1238	8142
132	1247	8129
133	1256	8121
134	1266	8112
135	1275	8101
136	1284	8088
137	1293	8081
138	1302	8069
139	1311	8058
140	1320	8046
141	1329	8036
142	1339	8025
143	1347	8012
144	1357	8002
145	1366	7990
146	1375	7981
147	1384	7972
148	1393	7961
149	1403	7951
150	1412	7942
151	1421	7930
152	1430	7916
153	1439	7907
154	1448	7895
155	1457	7885
156	1467	7880
157	1477	7871
158	1486	7862
159	1495	7853
160	1505	7847
161	1515	7838
162	1524	7828
163	1533	7816
164	1542	7805
165	1551	7795
166	1562	7792
167	1571	7784
168	1581	7777
169	1589	7759
170	1597	7742
171	1604	7722
172	1612	7708
173	1621	7695
174	1629	7684
175	1638	7672
176	1648	7665
177	1658	7659
178	1667	7649
179	1676	7639
180	1686	7629
181	1695	7620
182	1704	7608
183	1713	7598
184	1723	7592
185	1731	7579
186	1741	7570
187	1749	7558
188	1759	7548
189	1768	7540
190	1777	7528
191	1786	7519
192	1795	7509
193	1805	7500
194	1814	7489
195	1823	7481
196	1833	7472
197	1842	7462
198	1851	7453
199	1860	7443
200	1870	7435
201	1880	7429
202	1889	7419
203	1898	7408
204	1908	7400
205	1917	7390
206	1926	7379
207	1935	7370
208	1944	7360
209	1954	7354
210	1964	7344
211	1973	7336
212	1983	7328
213	1992	7318
214	2001	7307
215	2010	7298
216	2020	7291
217	2030	7282
218	2039	7274
219	2049	7266
220	2059	7260
221	2069	7252
222	2078	7243
223	2087	7232
224	2097	7223
225	2106	7214
226	2116	7205
227	2125	7197
228	2135	7188
229	2144	7179
230	2153	7170
231	2161	7155
232	2170	7145
233	2180	7136
234	2188	7124
235	2196	7109
236	2202	7090
237	2208	7070
238	2213	7049
239	2218	7026
240	2224	7005
241	2229	6983
242	2234	6960
243	2239	6939
244	2244	6917
245	2249	6896
246	2254	6873
247	2259	6850
248	2264	6828
249	2269	6807
250	2275	6788
251	2282	6774
252	2288	6757
253	2294	6738
254	2299	6717
255	2307	6706
256	2316	6695
257	2324	6686
258	2333	6676
259	2343	6668
260	2352	6660
261	2361	6651
262	2370	6642
263	2378	6630
264	2386	6619
265	2395	6610
266	2403	6599
267	2413	6592
268	2421	6581
269	2430	6572
270	2440	6566
271	2450	6557
272	2459	6549
273	2468	6541
274	2478	6533
275	2488	6526
276	2498	6520
277	2507	6512
278	2517	6504
279	2525	6495
280	2535	6487
281	2545	6479
282	2554	6471
283	2561	6458
284	2570	6448
285	2579	6439
286	2588	6430
287	2598	6424
288	2607	6416
289	2617	6407
290	2626	6398
291	2635	6390
292	2644	6381
293	2653	6371
294	2662	6362
295	2671	6353
296	2681	6346
297	2690	6337
298	2699	6329
299	2709	6322
300	2715	6306
301	2723	6294
302	2732	6285
303	2740	6274
304	2749	6266
305	2757	6254
306	2765	6243
307	2773	6230
308	2782	6221
309	2790	6210
310	2799	6202
311	2808	6193
312	2817	6183
313	2828	6179
314	2835	6166
315	2845	6159
316	2854	6149
317	2863	6140
318	2870	6128
319	2880	6120
320	2888	6110
321	2897	6100
322	2905	6090
323	2915	6082
324	2923	6072
325	2930	6059
326	2939	6050
327	2948	6040
328	2957	6032
329	2965	6021
330	2975	6013
331	2983	6002
332	2993	5995
333	3002	5987
334	3011	5977
335	3021	5970
336	3029	5960
337	3037	5948
338	3043	5933
339	3049	5918
340	3057	5909
341	3066	5899
342	3076	5893
343	3086	5886
344	3096	5879
345	3106	5872
346	3116	5865
347	3125	5856
348	3135	5848
349	3143	5837
350	3152	5828
351	3160	5818
352	3170	5811
353	3179	5802
354	3188	5793
355	3198	5785
356	3207	5777
357	3217	5769
358	3226	5760
359	3235	5751
360	3244	5743
361	3253	5733
362	3263	5726
363	3272	5717
364	3281	5708
365	3290	5700
366	3300	5692
367	3309	5683
368	3318	5675
369	3328	5667
370	3337	5658
371	3347	5650
372	3356	5642
373	3366	5634
374	3376	5627
375	3385	5619
376	3394	5609
377	3403	5600
378	3413	5592
379	3422	5584
380	3432	5576
381	3442	5568
382	3451	5560
383	3461	5552
384	3470	5543
385	3480	5535
386	3489	5526
387	3498	5517
388	3506	5508
389	3516	5499
390	3525	5491
391	3535	5483
392	3544	5474
393	3553	5464
394	3559	5451
395	3568	5442
396	3577	5434
397	3587	5426
398	3596	5417
399	3606	5410
400	3616	5402
401	3626	5394
402	3635	5385
403	3645	5377
404	3654	5369
405	3664	5360
406	3673	5351
407	3682	5343
408	3691	5334
409	3701	5326
410	3709	5316
411	3719	5308
412	3729	5301
413	3739	5292
414	3748	5283
415	3757	5274
416	3767	5266
417	3776	5257
418	3786	5250
419	3795	5241
420	3805	5233
421	3815	5225
422	3824	5217
423	3834	5209
424	3844	5201
425	3853	5192
426	3862	5183
427	3871	5173
428	3881	5165
429	3890	5157
430	3899	5148
431	3909	5140
432	3919	5132
433	3928	5123
434	3937	5114
435	3947	5105
436	3955	5096
437	3964	5087
438	3974	5079
439	3983	5069
440	3993	5061
441	4002	5053
442	4012	5044
443	4021	5035
444	4030	5027
445	4040	5018
446	4050	5010
447	4059	5002
448	4069	4994
449	4079	4985
450	4089	4978
451	4099	4970
452	4109	4961
453	4119	4953
454	4127	4944
455	4136	4935
456	4145	4925
457	4154	4916
458	4164	4908
459	4173	4898
460	4180	4887
461	4188	4878
462	4198	4868
463	4206	4859
464	4215	4850
465	4224	4841
466	4234	4832
467	4242	4822
468	4251	4813
469	4261	4805
470	4269	4795
471	4279	4787
472	4289	4778
473	4299	4770
474	4308	4762
475	4317	4752
476	4326	4743
477	4335	4734
478	4345	4726
479	4354	4717
480	4364	4709
481	4374	4700
482	4383	4692
483	4392	4683
484	4402	4674
485	4411	4666
486	4421	4657
487	4430	4648
488	4440	4640
489	4450	4631
490	4459	4622
491	4468	4613
492	4477	4604
493	4485	4594
494	4494	4585
495	4503	4575
496	4512	4566
497	4520	4556
498	4529	4547
499	4539	4539
500	4549	4531
501	4559	4523
502	4569	4514
503	4578	4505
504	4587	4496
505	4596	4487
506	4606	4479
507	4616	4470
508	4625	4461
509	4634	4453
510	4644	4444
511	4653	4435
512	4663	4426
513	4672	4418
514	4681	4408
515	4690	4399
516	4699	4390
517	4708	4381
518	4717	4372
519	4726	4363
520	4737	4355
521	4747	4347
522	4757	4339
523	4767	4330
524	4776	4321
525	4786	4313
526	4795	4304
527	4804	4294
528	4814	4286
529	4823	4277
530	4834	4269
531	4843	4260
532	4853	4252
533	4862	4243
534	4872	4234
535	4881	4225
536	4890	4216
537	4899	4207
538	4909	4198
539	4919	4190
540	4929	4182
541	4938	4173
542	4948	4164
543	4957	4155
544	4966	4145
545	4974	4136
546	4984	4127
547	4993	4118
548	5003	4110
549	5013	4102
550	5023	4093
551	5032	4084
552	5042	4076
553	5052	4067
554	5061	4058
555	5071	4049
556	5080	4040
557	5090	4032
558	5099	4023
559	5109	4014
560	5116	4003
561	5125	3994
562	5135	3985
563	5144	3976
564	5152	3967
565	5161	3957
566	5170	3948
567	5180	3939
568	5190	3931
569	5200	3923
570	5209	3913
571	5218	3904
572	5227	3895
573	5237	3886
574	5245	3877
575	5255	3868
576	5263	3859
577	5273	3850
578	5283	3841
579	5293	3833
580	5302	3824
581	5312	3815
582	5321	3806
583	5330	3797
584	5339	3788
585	5349	3779
586	5358	3769
587	5367	3761
588	5378	3752
589	5387	3743
590	5397	3735
591	5406	3726
592	5416	3717
593	5425	3708
594	5434	3699
595	5444	3690
596	5453	3681
597	5462	3672
598	5472	3663
599	5481	3654
600	5490	3645
601	5499	3635
602	5508	3626
603	5517	3617
604	5523	3606
605	5532	3596
606	5542	3588
607	5551	3579
608	5561	3570
609	5571	3562
610	5579	3551
611	5588	3543
612	5598	3534
613	5607	3524
614	5616	3515
615	5625	3506
616	5634	3497
